Episode,path
50,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 3, 8]), array([3, 2, 9]), array([2, 1, 6]), array([3, 2, 9]), array([3, 1, 9]), array([4, 0, 8]), array([ 5, -1,  9])]"
51,"[array([0, 2, 7]), array([0, 3, 7]), array([-1,  4,  6])]"
52,"[array([0, 1, 6]), array([-1,  2,  7])]"
53,"[array([0, 1, 6]), array([-1,  2,  7])]"
54,"[array([2, 1, 6]), array([1, 2, 7]), array([1, 3, 7]), array([1, 2, 7]), array([2, 1, 6]), array([1, 0, 9]), array([ 2, -1,  8])]"
55,"[array([0, 1, 6]), array([-1,  2,  7])]"
56,"[array([2, 1, 6]), array([3, 0, 7]), array([2, 1, 6]), array([3, 2, 9]), array([4, 1, 8]), array([5, 0, 9])]"
57,"[array([0, 2, 7]), array([0, 3, 7]), array([-1,  4,  6])]"
58,"[array([2, 2, 9]), array([2, 1, 9]), array([3, 0, 8]), array([4, 1, 7]), array([4, 0, 7]), array([3, 1, 6]), array([2, 0, 9]), array([ 2, -1,  9])]"
59,"[array([0, 0, 9]), array([ 0, -1,  9])]"
60,"[array([2, 1, 6]), array([1, 1, 6]), array([2, 2, 9]), array([3, 3, 6]), array([2, 2, 9]), array([2, 1, 9]), array([3, 0, 8]), array([4, 1, 7]), array([5, 0, 6])]"
61,"[array([0, 0, 9]), array([-1,  1,  8])]"
62,"[array([2, 0, 7]), array([1, 1, 6]), array([0, 1, 6]), array([1, 0, 7]), array([2, 1, 8]), array([3, 2, 7]), array([4, 3, 8]), array([5, 2, 9])]"
63,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([2, 3, 9]), array([3, 4, 6]), array([2, 5, 7])]"
64,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 4, 7]), array([1, 3, 8]), array([2, 4, 7]), array([3, 5, 8])]"
65,"[array([2, 0, 7]), array([ 3, -1,  6])]"
66,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 3, 8]), array([3, 2, 9]), array([3, 3, 9]), array([4, 4, 6]), array([3, 5, 7])]"
67,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([3, 1, 8]), array([4, 0, 9]), array([ 3, -1,  6])]"
68,"[array([0, 2, 7]), array([-1,  1,  8])]"
69,"[array([0, 0, 9]), array([ 0, -1,  9])]"
70,"[array([2, 0, 7]), array([ 2, -1,  7])]"
71,"[array([2, 0, 7]), array([ 3, -1,  6])]"
72,"[array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([-1,  1,  8])]"
73,"[array([2, 0, 7]), array([ 1, -1,  8])]"
74,"[array([2, 0, 7]), array([ 1, -1,  8])]"
75,"[array([2, 2, 9]), array([3, 3, 6]), array([2, 3, 6]), array([1, 4, 7]), array([0, 3, 8]), array([-1,  3,  8])]"
76,"[array([0, 0, 9]), array([0, 1, 9]), array([1, 2, 6]), array([2, 3, 9]), array([1, 4, 8]), array([2, 3, 9]), array([3, 4, 6]), array([4, 3, 7]), array([5, 4, 8])]"
77,"[array([0, 2, 7]), array([0, 1, 7]), array([1, 0, 6]), array([0, 0, 6]), array([1, 0, 6]), array([ 2, -1,  7])]"
78,"[array([2, 0, 7]), array([ 1, -1,  8])]"
79,"[array([2, 2, 9]), array([2, 3, 9]), array([3, 4, 6]), array([4, 4, 6]), array([5, 3, 7])]"
80,"[array([0, 0, 9]), array([0, 1, 9]), array([1, 2, 6]), array([0, 2, 6]), array([-1,  2,  6])]"
81,"[array([0, 2, 7]), array([-1,  1,  8])]"
82,"[array([0, 0, 9]), array([0, 1, 9]), array([-1,  0,  6])]"
83,"[array([0, 1, 6]), array([-1,  1,  6])]"
84,"[array([2, 1, 6]), array([1, 0, 9]), array([1, 1, 9]), array([2, 2, 6]), array([3, 1, 7]), array([2, 0, 8]), array([1, 1, 9]), array([2, 2, 6]), array([3, 1, 7]), array([4, 0, 6])]"
85,"[array([0, 2, 7]), array([0, 3, 7]), array([0, 4, 7]), array([-1,  3,  8])]"
86,"[array([0, 0, 9]), array([1, 1, 6]), array([2, 0, 7]), array([ 2, -1,  7])]"
87,"[array([0, 1, 6]), array([1, 0, 7]), array([ 1, -1,  7])]"
88,"[array([2, 0, 7]), array([ 1, -1,  8])]"
89,"[array([2, 2, 9]), array([1, 3, 8]), array([0, 4, 9]), array([1, 5, 6])]"
90,"[array([2, 0, 7]), array([ 1, -1,  8])]"
91,"[array([2, 0, 7]), array([ 3, -1,  6])]"
92,"[array([0, 1, 6]), array([-1,  0,  9])]"
93,"[array([2, 2, 9]), array([3, 3, 6]), array([4, 2, 7]), array([4, 1, 7]), array([3, 2, 6]), array([2, 1, 9]), array([3, 0, 8]), array([4, 1, 7]), array([3, 0, 8]), array([2, 1, 9])]"
94,"[array([2, 0, 7]), array([ 3, -1,  6])]"
95,"[array([2, 0, 7]), array([ 1, -1,  8])]"
96,"[array([2, 0, 7]), array([ 1, -1,  8])]"
97,"[array([2, 0, 7]), array([ 1, -1,  8])]"
98,"[array([2, 2, 9]), array([3, 1, 8]), array([2, 2, 9]), array([2, 3, 9]), array([1, 2, 6]), array([0, 2, 6]), array([-1,  3,  7])]"
99,"[array([0, 1, 6]), array([1, 0, 7]), array([2, 1, 8]), array([3, 0, 9]), array([ 3, -1,  9])]"
100,"[array([0, 2, 7]), array([0, 1, 7]), array([1, 2, 8]), array([2, 1, 9]), array([1, 0, 6]), array([2, 1, 9]), array([3, 0, 8]), array([2, 0, 8]), array([1, 1, 9]), array([1, 2, 9])]"
101,"[array([0, 1, 6]), array([-1,  2,  7])]"
102,"[array([0, 1, 6]), array([-1,  1,  6])]"
103,"[array([0, 2, 7]), array([1, 1, 6]), array([0, 2, 7]), array([0, 1, 7]), array([1, 2, 8]), array([0, 2, 8]), array([1, 1, 9]), array([0, 2, 8]), array([-1,  1,  7])]"
104,"[array([0, 1, 6]), array([-1,  2,  7])]"
105,"[array([2, 1, 6]), array([1, 2, 7]), array([1, 3, 7]), array([0, 4, 6]), array([1, 4, 6]), array([2, 4, 6]), array([3, 3, 7]), array([4, 4, 8]), array([5, 3, 9])]"
106,"[array([2, 0, 7]), array([1, 1, 6]), array([2, 0, 7]), array([3, 1, 8]), array([2, 2, 9]), array([1, 3, 8]), array([2, 4, 7]), array([1, 5, 6])]"
107,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 4, 7]), array([3, 5, 8])]"
108,"[array([2, 1, 6]), array([3, 2, 9]), array([2, 1, 6]), array([1, 2, 7]), array([2, 3, 8]), array([3, 2, 9]), array([2, 3, 8]), array([3, 4, 7]), array([4, 5, 8])]"
109,"[array([0, 2, 7]), array([-1,  1,  8])]"
110,"[array([2, 1, 6]), array([3, 2, 9]), array([3, 1, 9]), array([3, 2, 9]), array([2, 1, 6]), array([1, 2, 7]), array([0, 1, 8]), array([-1,  0,  7])]"
111,"[array([2, 0, 7]), array([3, 1, 8]), array([2, 2, 9]), array([1, 1, 6]), array([0, 0, 9]), array([0, 1, 9]), array([-1,  0,  6])]"
112,"[array([0, 1, 6]), array([-1,  2,  7])]"
113,"[array([0, 2, 7]), array([0, 3, 7]), array([1, 4, 8]), array([0, 4, 8]), array([-1,  3,  7])]"
114,"[array([2, 1, 6]), array([1, 1, 6]), array([0, 1, 6]), array([-1,  1,  6])]"
